frame,0_x,0_y,0_z,0_visibility,1_x,1_y,1_z,1_visibility,2_x,2_y,2_z,2_visibility,3_x,3_y,3_z,3_visibility,4_x,4_y,4_z,4_visibility,5_x,5_y,5_z,5_visibility,6_x,6_y,6_z,6_visibility,7_x,7_y,7_z,7_visibility,8_x,8_y,8_z,8_visibility,9_x,9_y,9_z,9_visibility,10_x,10_y,10_z,10_visibility,11_x,11_y,11_z,11_visibility,12_x,12_y,12_z,12_visibility,13_x,13_y,13_z,13_visibility,14_x,14_y,14_z,14_visibility,15_x,15_y,15_z,15_visibility,16_x,16_y,16_z,16_visibility,17_x,17_y,17_z,17_visibility,18_x,18_y,18_z,18_visibility,19_x,19_y,19_z,19_visibility,20_x,20_y,20_z,20_visibility,21_x,21_y,21_z,21_visibility,22_x,22_y,22_z,22_visibility,23_x,23_y,23_z,23_visibility,24_x,24_y,24_z,24_visibility,25_x,25_y,25_z,25_visibility,26_x,26_y,26_z,26_visibility,27_x,27_y,27_z,27_visibility,28_x,28_y,28_z,28_visibility,29_x,29_y,29_z,29_visibility,30_x,30_y,30_z,30_visibility,31_x,31_y,31_z,31_visibility,32_x,32_y,32_z,32_visibility
0,0.5620073080062866,0.44630980491638184,-0.1946135312318802,0.9999105930328369,0.5528582334518433,0.431144654750824,-0.16255642473697662,0.9999125003814697,0.5519822835922241,0.4312101900577545,-0.1627414971590042,0.9999271631240845,0.5505635142326355,0.43140387535095215,-0.1629813015460968,0.9999451637268066,0.5428228378295898,0.4314323961734772,-0.24059349298477173,0.999916672706604,0.5354030132293701,0.4318864643573761,-0.24074426293373108,0.999921441078186,0.5276321172714233,0.4324013292789459,-0.24068602919578552,0.9999306201934814,0.5087541341781616,0.43802815675735474,0.007762748748064041,0.9999473094940186,0.48527079820632935,0.44016990065574646,-0.34280747175216675,0.9998816251754761,0.5528834462165833,0.4621655344963074,-0.12468840926885605,0.9998230338096619,0.5423319935798645,0.46267834305763245,-0.2275523543357849,0.99978107213974,0.4690644443035126,0.5214102864265442,0.2307322919368744,0.9961109757423401,0.45342910289764404,0.523989200592041,-0.5212664008140564,0.9981470108032227,0.6768596172332764,0.5453457832336426,0.3076644241809845,0.4285672903060913,0.6999510526657104,0.5496225357055664,-0.6160546541213989,0.9854307174682617,0.8843475580215454,0.5445610284805298,0.21403884887695312,0.3991732597351074,0.9255520701408386,0.544340968132019,-0.4530438184738159,0.9477642178535461,0.9258738160133362,0.5375391244888306,0.23351997137069702,0.3831140398979187,0.972029983997345,0.5417473316192627,-0.5380641222000122,0.9072954654693604,0.9359511733055115,0.5348542928695679,0.1626056730747223,0.39358773827552795,0.9700804948806763,0.534230649471283,-0.46552473306655884,0.8941575884819031,0.9263042211532593,0.5380174517631531,0.17978635430335999,0.4274255633354187,0.9563301205635071,0.5360705256462097,-0.4289347529411316,0.8595870137214661,0.25377872586250305,0.7113358974456787,0.24544094502925873,0.9979404807090759,0.2083948254585266,0.7303586602210999,-0.2448882907629013,0.9985578656196594,0.5276753902435303,0.7170915007591248,0.3086685538291931,0.5209805965423584,0.5143793821334839,0.7335854172706604,-0.394905686378479,0.9942155480384827,0.4118831157684326,0.8833258152008057,0.43650108575820923,0.7303287982940674,0.3890797197818756,0.9227718114852905,-0.13334524631500244,0.9928801655769348,0.3696718215942383,0.9080221652984619,0.44865334033966064,0.7381919622421265,0.3414560556411743,0.9503293037414551,-0.10491684079170227,0.9856023192405701,0.5279594659805298,0.920721709728241,0.43888920545578003,0.8077710866928101,0.5243695378303528,0.9686586856842041,-0.12142901122570038,0.9870188236236572
1,0.5605126619338989,0.44650623202323914,-0.2205185443162918,0.9999034404754639,0.5494168996810913,0.4312017858028412,-0.18817263841629028,0.999907374382019,0.5488042235374451,0.4312663972377777,-0.18826909363269806,0.9999223947525024,0.5477442145347595,0.43143731355667114,-0.18844252824783325,0.9999416470527649,0.5395453572273254,0.43143230676651,-0.269241064786911,0.9999141097068787,0.5324390530586243,0.4318605363368988,-0.2694375514984131,0.9999189376831055,0.5247277021408081,0.4323340654373169,-0.26948365569114685,0.9999298453330994,0.5085264444351196,0.4380594491958618,-0.01010970864444971,0.9999445676803589,0.48477792739868164,0.4400309920310974,-0.37464576959609985,0.9998782873153687,0.5518942475318909,0.46307042241096497,-0.14648637175559998,0.999807596206665,0.5412407517433167,0.46288734674453735,-0.2534084618091583,0.9997684955596924,0.4679274260997772,0.5216690897941589,0.2306690365076065,0.9957609176635742,0.4540504217147827,0.524206280708313,-0.5564934611320496,0.9982430934906006,0.6766446232795715,0.5453134179115295,0.32570168375968933,0.42131507396698,0.6995936632156372,0.5498992204666138,-0.6830142140388489,0.9858473539352417,0.8756676316261292,0.5426163673400879,0.23054559528827667,0.3920780122280121,0.9356213212013245,0.5440256595611572,-0.5700470805168152,0.9488860964775085,0.9001579880714417,0.5348888635635376,0.2515832781791687,0.37896376848220825,0.9880921840667725,0.5413945317268372,-0.6647316813468933,0.9092798233032227,0.9145616888999939,0.5303223133087158,0.18244728446006775,0.388673335313797,0.9814106822013855,0.533851683139801,-0.5966721177101135,0.8964366912841797,0.9042065739631653,0.5344027876853943,0.19801965355873108,0.42159324884414673,0.9644766449928284,0.5356581211090088,-0.5476269125938416,0.8615731000900269,0.2531113624572754,0.7105229496955872,0.26334139704704285,0.9979943633079529,0.20839627087116241,0.7299863696098328,-0.26288309693336487,0.9986510276794434,0.5266464948654175,0.7177404165267944,0.4261453449726105,0.5271781086921692,0.5157846212387085,0.7346600890159607,-0.39287254214286804,0.9944624900817871,0.41527029871940613,0.8798007965087891,0.6257060170173645,0.7269293665885925,0.3915092349052429,0.9237370491027832,-0.19970250129699707,0.9930217266082764,0.3736999034881592,0.9032027721405029,0.6446448564529419,0.7335634231567383,0.34425753355026245,0.9507739543914795,-0.1829266995191574,0.985528290271759,0.525911808013916,0.9086928963661194,0.6306970119476318,0.8043263554573059,0.5243514180183411,0.9653741717338562,-0.24560002982616425,0.9870350360870361
2,0.559632420539856,0.4463637173175812,-0.22713692486286163,0.9999013543128967,0.5474913716316223,0.43102309107780457,-0.19429218769073486,0.9999067187309265,0.5469550490379333,0.4310857355594635,-0.19437478482723236,0.9999218583106995,0.5459998250007629,0.43121787905693054,-0.19454538822174072,0.9999414682388306,0.5375952124595642,0.43118685483932495,-0.27729153633117676,0.9999147057533264,0.5305763483047485,0.4315676987171173,-0.27746960520744324,0.9999193549156189,0.5227710008621216,0.4320138692855835,-0.2774912118911743,0.9999308586120605,0.5081064105033875,0.43794214725494385,-0.016991453245282173,0.9999451041221619,0.48378896713256836,0.4397297203540802,-0.3911137580871582,0.9998784065246582,0.5513993501663208,0.4631696045398712,-0.15374162793159485,0.9998024702072144,0.5404995083808899,0.46286940574645996,-0.26335176825523376,0.9997640252113342,0.46795037388801575,0.5221535563468933,0.21904981136322021,0.9953534007072449,0.45404553413391113,0.524527370929718,-0.5688850283622742,0.9982865452766418,0.6776496171951294,0.5453125238418579,0.3100534677505493,0.41978609561920166,0.6998374462127686,0.5502614378929138,-0.6950151920318604,0.9859175682067871,0.8862903714179993,0.5422353148460388,0.2192070335149765,0.39026758074760437,0.9474682807922363,0.5437788367271423,-0.5890465378761292,0.9499844908714294,0.9139308333396912,0.5343245267868042,0.24229714274406433,0.37856969237327576,1.0050482749938965,0.541128933429718,-0.6874086856842041,0.9114046692848206,0.9195072054862976,0.5304774641990662,0.1721847653388977,0.38781261444091797,0.996181309223175,0.5335010886192322,-0.613286554813385,0.8988147974014282,0.9098880887031555,0.5344142317771912,0.18673162162303925,0.4201594293117523,0.9764653444290161,0.535356879234314,-0.5653836727142334,0.8636569976806641,0.25291961431503296,0.7101868987083435,0.2618831694126129,0.9980025291442871,0.20783661305904388,0.7295354604721069,-0.26139771938323975,0.9987204670906067,0.5263380408287048,0.7186406850814819,0.4003404974937439,0.536055862903595,0.5164841413497925,0.7347965836524963,-0.3950382471084595,0.9946728944778442,0.4177432656288147,0.8795977234840393,0.5765025615692139,0.7250715494155884,0.3932858407497406,0.924434244632721,-0.22525085508823395,0.9930474162101746,0.3764010965824127,0.9033715128898621,0.5937364101409912,0.7299957871437073,0.3460225462913513,0.9513829946517944,-0.20894773304462433,0.985317587852478,0.5253968238830566,0.908729612827301,0.5760506987571716,0.8019682168960571,0.5243580937385559,0.964229941368103,-0.27087271213531494,0.9867736101150513
3,0.5585970282554626,0.44546788930892944,-0.23537901043891907,0.9998999834060669,0.54555743932724,0.4301210939884186,-0.2016734927892685,0.9999068379402161,0.5450209975242615,0.43019571900367737,-0.20175641775131226,0.9999217987060547,0.5440732836723328,0.4302998185157776,-0.20193323493003845,0.9999417662620544,0.5357905626296997,0.43030616641044617,-0.2860211431980133,0.9999159574508667,0.5288419127464294,0.4307008385658264,-0.28619295358657837,0.9999203085899353,0.5209746360778809,0.43115052580833435,-0.2862074077129364,0.9999324083328247,0.5073994398117065,0.43739691376686096,-0.023902421817183495,0.9999459981918335,0.4825722873210907,0.4390096962451935,-0.40338414907455444,0.9998791813850403,0.5507272481918335,0.46288150548934937,-0.16220830380916595,0.9997997879981995,0.5396837592124939,0.4621960520744324,-0.2735067307949066,0.9997617602348328,0.46900561451911926,0.5225381851196289,0.20831891894340515,0.9949569702148438,0.45341965556144714,0.5245692729949951,-0.5828271508216858,0.998321533203125,0.6793586015701294,0.5453418493270874,0.2947876751422882,0.41697126626968384,0.6996591091156006,0.5505878925323486,-0.7126545310020447,0.9860798716545105,0.8988780975341797,0.5416070818901062,0.20319262146949768,0.3845992982387543,0.9524068832397461,0.5436518788337708,-0.6090468168258667,0.9509730935096741,0.9222890734672546,0.5340076684951782,0.22574366629123688,0.37428662180900574,1.0095326900482178,0.5410351753234863,-0.7091614007949829,0.9131723046302795,0.9241567254066467,0.5305995941162109,0.1559322029352188,0.382988840341568,1.0000134706497192,0.5334096550941467,-0.633547306060791,0.9007866978645325,0.9212650060653687,0.5338524580001831,0.17081379890441895,0.41489163041114807,0.9805364608764648,0.535275936126709,-0.584953784942627,0.8652365207672119,0.2533683180809021,0.7099112272262573,0.26125568151474,0.9980044364929199,0.20781877636909485,0.729084312915802,-0.2607502341270447,0.9987797737121582,0.5261309742927551,0.7192906737327576,0.39366453886032104,0.5435174703598022,0.5168803334236145,0.735097348690033,-0.39535093307495117,0.9948348999023438,0.4195275604724884,0.8796555399894714,0.5694414377212524,0.7225109934806824,0.3939315974712372,0.9254162311553955,-0.22754591703414917,0.993047833442688,0.37855198979377747,0.9034506678581238,0.5865981578826904,0.7259780764579773,0.3464958071708679,0.9523056745529175,-0.21119754016399384,0.9850906133651733,0.5253822803497314,0.908044159412384,0.5662015080451965,0.7988112568855286,0.524357795715332,0.9638625979423523,-0.2734275460243225,0.9864935874938965
4,0.5569336414337158,0.44531139731407166,-0.23521561920642853,0.9998960494995117,0.54364013671875,0.4299449622631073,-0.20132316648960114,0.9999048113822937,0.5432167053222656,0.4300125241279602,-0.2014131098985672,0.9999199509620667,0.5423909425735474,0.43009111285209656,-0.2015918493270874,0.9999409317970276,0.5338094234466553,0.43009811639785767,-0.2843363285064697,0.9999152421951294,0.5268332362174988,0.430458128452301,-0.2845061421394348,0.9999193549156189,0.5189353823661804,0.4308936297893524,-0.2845248878002167,0.9999325275421143,0.5067147016525269,0.4371885359287262,-0.022883012890815735,0.9999460577964783,0.48117706179618835,0.43868356943130493,-0.39554503560066223,0.9998776912689209,0.5494284629821777,0.4628664553165436,-0.16184726357460022,0.9997933506965637,0.53809654712677,0.4620455801486969,-0.2712398171424866,0.999754011631012,0.46937689185142517,0.5226773023605347,0.2083308845758438,0.9944615364074707,0.4533658027648926,0.524594783782959,-0.5764153003692627,0.9983282089233398,0.6795216202735901,0.545241117477417,0.2894285023212433,0.41266223788261414,0.699518620967865,0.5505869388580322,-0.7063897252082825,0.9863666892051697,0.8980797529220581,0.5401366949081421,0.19274011254310608,0.3782074749469757,0.9508858323097229,0.5433507561683655,-0.6054652333259583,0.9520196914672852,0.9220051169395447,0.531378448009491,0.21342305839061737,0.36962252855300903,1.0077153444290161,0.5409008264541626,-0.7070304155349731,0.9149323105812073,0.9245129227638245,0.529183566570282,0.14417332410812378,0.3776756227016449,0.9991114735603333,0.533372163772583,-0.6309651136398315,0.9027456045150757,0.9213840365409851,0.5314167141914368,0.16030444204807281,0.40905311703681946,0.9807268381118774,0.5351564288139343,-0.5816691517829895,0.8670675158500671,0.2531755268573761,0.7095192074775696,0.2616015672683716,0.9979422092437744,0.20747311413288116,0.7284899353981018,-0.2610754072666168,0.998784601688385,0.5260951519012451,0.7204067707061768,0.38406383991241455,0.5481483340263367,0.5171206593513489,0.7354641556739807,-0.3674631714820862,0.9949511289596558,0.41939565539360046,0.8811063170433044,0.5556252002716064,0.7181356549263,0.3939591646194458,0.9259366393089294,-0.18159723281860352,0.9929819107055664,0.37840306758880615,0.9060446619987488,0.571026086807251,0.720978319644928,0.34653761982917786,0.9529643058776855,-0.16520562767982483,0.9847826957702637,0.5247231721878052,0.9086027145385742,0.5534549951553345,0.7943391799926758,0.5240266919136047,0.9637485146522522,-0.23772646486759186,0.9861246943473816
5,0.5552688241004944,0.4452366828918457,-0.2459816336631775,0.9998947978019714,0.540864884853363,0.4297546148300171,-0.2129034399986267,0.9999038577079773,0.5400274991989136,0.4298008680343628,-0.21295659244060516,0.9999193549156189,0.5387709736824036,0.42983463406562805,-0.21311461925506592,0.9999405741691589,0.5321958661079407,0.4299449026584625,-0.2999478280544281,0.9999154210090637,0.5255088806152344,0.430294007062912,-0.3001236617565155,0.9999194741249084,0.5179650187492371,0.4307183623313904,-0.3001447319984436,0.9999330043792725,0.503404438495636,0.43711647391319275,-0.03672163188457489,0.999945878982544,0.48019543290138245,0.4384841322898865,-0.4311465322971344,0.9998771548271179,0.5474156737327576,0.4628583490848541,-0.1728244572877884,0.9997879862785339,0.5369018316268921,0.46200859546661377,-0.2880423963069916,0.9997497797012329,0.46845877170562744,0.5226614475250244,0.2014266848564148,0.9941878914833069,0.4542544484138489,0.5247047543525696,-0.6084160804748535,0.9983744025230408,0.6804980635643005,0.5450713634490967,0.2848885953426361,0.4155060648918152,0.6998164653778076,0.5504744648933411,-0.7400898933410645,0.9864846467971802,0.9025194048881531,0.5399664044380188,0.18268877267837524,0.3875007629394531,0.9529404640197754,0.5431416034698486,-0.6525356769561768,0.9536371827125549,0.9356181025505066,0.531593382358551,0.20495787262916565,0.37916216254234314,1.0092840194702148,0.5408087372779846,-0.7587541937828064,0.9179810285568237,0.9394937753677368,0.5296744108200073,0.12940773367881775,0.3872278332710266,1.0009386539459229,0.5333592295646667,-0.6821956634521484,0.9061904549598694,0.9357353448867798,0.5314686298370361,0.14742591977119446,0.41818270087242126,0.9824185967445374,0.5350919961929321,-0.6285518407821655,0.8706581592559814,0.25311315059661865,0.7094544768333435,0.2654765844345093,0.997946560382843,0.20792156457901,0.728319525718689,-0.2649420499801636,0.9988409876823425,0.5251940488815308,0.7206234931945801,0.42958343029022217,0.5527941584587097,0.5170426964759827,0.7356482744216919,-0.3878993093967438,0.9951687455177307,0.4193112254142761,0.8815532326698303,0.6394501328468323,0.7173629999160767,0.39398667216300964,0.9260004162788391,-0.21641236543655396,0.9930962324142456,0.3782452344894409,0.9067531228065491,0.6595379710197449,0.7179067134857178,0.3467751145362854,0.9530496597290039,-0.2003890872001648,0.9846813678741455,0.5245965123176575,0.9093763828277588,0.6425133943557739,0.792796790599823,0.5240243673324585,0.9627009630203247,-0.26845547556877136,0.986091136932373
6,0.5539633631706238,0.443437784910202,-0.24391375482082367,0.9998957514762878,0.5390713214874268,0.4281603991985321,-0.2104012370109558,0.9999048113822937,0.5379174947738647,0.42821112275123596,-0.2104586660861969,0.9999204277992249,0.5362765192985535,0.4282378852367401,-0.21061307191848755,0.9999414682388306,0.5311588048934937,0.428496390581131,-0.2969546914100647,0.9999169707298279,0.5245605111122131,0.4288451075553894,-0.2971325218677521,0.9999210238456726,0.5172299146652222,0.42920687794685364,-0.29714909195899963,0.9999346137046814,0.5007885694503784,0.4361221492290497,-0.034434013068675995,0.9999469518661499,0.47895124554634094,0.43719324469566345,-0.4254787266254425,0.9998788237571716,0.5456777215003967,0.4611346125602722,-0.1712203174829483,0.999788224697113,0.5360899567604065,0.46034419536590576,-0.28590306639671326,0.999751627445221,0.4662187993526459,0.5220320820808411,0.20245704054832458,0.993974506855011,0.45483535528182983,0.5242510437965393,-0.6041373610496521,0.9984292984008789,0.6804832816123962,0.544719934463501,0.2826935946941376,0.416951447725296,0.6999018788337708,0.5499971508979797,-0.7322168350219727,0.9867038130760193,0.9040089845657349,0.5393717885017395,0.18241272866725922,0.3907722532749176,0.960071325302124,0.5420222282409668,-0.6410809755325317,0.9552983641624451,0.9348543286323547,0.5308665037155151,0.20536759495735168,0.38273435831069946,1.0159862041473389,0.5388681292533875,-0.7477890849113464,0.9210004210472107,0.9391640424728394,0.5290115475654602,0.12950947880744934,0.39054229855537415,1.0068769454956055,0.5313751697540283,-0.6681594252586365,0.9095701575279236,0.9355618953704834,0.5308879017829895,0.14717964828014374,0.4213502109050751,0.987671434879303,0.5332940220832825,-0.6161783337593079,0.8744133114814758,0.2509133815765381,0.7089841365814209,0.2666907012462616,0.9979792833328247,0.207940936088562,0.7278688549995422,-0.2661304771900177,0.9989007711410522,0.5246598124504089,0.7207225561141968,0.4432685673236847,0.5567615032196045,0.5170698165893555,0.735671877861023,-0.3878258764743805,0.9953882694244385,0.4192366302013397,0.8816051483154297,0.6609793901443481,0.7160850763320923,0.3940190374851227,0.9262059330940247,-0.20694588124752045,0.9932308197021484,0.3781048059463501,0.9068974852561951,0.682313084602356,0.7153798937797546,0.346786767244339,0.9534705877304077,-0.18904776871204376,0.9847369194030762,0.5243749618530273,0.909678041934967,0.6689460277557373,0.7906546592712402,0.5240212678909302,0.9618695974349976,-0.2472926378250122,0.9861410856246948
7,0.5519695281982422,0.44153711199760437,-0.23934388160705566,0.9998974204063416,0.5364380478858948,0.42619746923446655,-0.2069394439458847,0.999906063079834,0.5350603461265564,0.42616888880729675,-0.2069467455148697,0.9999218583106995,0.5331864356994629,0.4261186420917511,-0.2070487141609192,0.9999425411224365,0.5291955471038818,0.42676103115081787,-0.2933102548122406,0.9999184608459473,0.5227976441383362,0.42714229226112366,-0.2935059368610382,0.9999226331710815,0.5159870982170105,0.4275357127189636,-0.2935560643672943,0.9999362230300903,0.4977300465106964,0.4344944357872009,-0.03183186799287796,0.9999482035636902,0.47748979926109314,0.43589380383491516,-0.4164412319660187,0.9998804926872253,0.5437731146812439,0.45930153131484985,-0.17008313536643982,0.999790608882904,0.5350912809371948,0.45868828892707825,-0.2853025197982788,0.9997560381889343,0.46428272128105164,0.519231379032135,0.2038392871618271,0.9938584566116333,0.4600912630558014,0.5239147543907166,-0.601554274559021,0.9985036253929138,0.6785292625427246,0.5429839491844177,0.2840535342693329,0.4159155786037445,0.7004700303077698,0.5481125116348267,-0.7163613438606262,0.9869255423545837,0.89307701587677,0.5380745530128479,0.1837628036737442,0.3949315845966339,0.9582670331001282,0.5402517914772034,-0.6119495630264282,0.9570696353912354,0.9335151314735413,0.529913067817688,0.20925365388393402,0.3875214457511902,1.0154657363891602,0.5369688868522644,-0.7138795256614685,0.9243176579475403,0.9372978210449219,0.5282476544380188,0.13107672333717346,0.3951329290866852,1.0029470920562744,0.5296418070793152,-0.6375194191932678,0.9133414626121521,0.9313820004463196,0.5306436419487,0.14754541218280792,0.42569801211357117,0.9856898784637451,0.5314311385154724,-0.5877359509468079,0.8790596127510071,0.25005701184272766,0.7079789042472839,0.26601240038871765,0.9980390667915344,0.2079194039106369,0.7269784808158875,-0.26546260714530945,0.9989675283432007,0.523733377456665,0.720793604850769,0.4421849250793457,0.5637415647506714,0.5165913105010986,0.7357028126716614,-0.37327903509140015,0.9956578016281128,0.4197315573692322,0.8816227316856384,0.6464053392410278,0.7182443141937256,0.39402809739112854,0.9265996813774109,-0.20143091678619385,0.9934670925140381,0.37881919741630554,0.9069645404815674,0.6665127873420715,0.7162991762161255,0.346797376871109,0.9539769291877747,-0.18293166160583496,0.9850137829780579,0.5241432189941406,0.9097199440002441,0.6558653116226196,0.7916679978370667,0.5238613486289978,0.9618261456489563,-0.23648589849472046,0.9864631295204163
8,0.5502733588218689,0.4376392364501953,-0.2156291902065277,0.9998970627784729,0.5350742936134338,0.4226091504096985,-0.18440371751785278,0.9999063611030579,0.533561646938324,0.42253896594047546,-0.1844359040260315,0.9999221563339233,0.531498908996582,0.42255234718322754,-0.1845637857913971,0.9999430179595947,0.5279898643493652,0.42301416397094727,-0.2677916884422302,0.9999191761016846,0.5216016173362732,0.4234538674354553,-0.2679782807826996,0.9999232292175293,0.5149972438812256,0.42401251196861267,-0.2680303454399109,0.9999372959136963,0.49453169107437134,0.43163734674453735,-0.02032211795449257,0.9999488592147827,0.47540009021759033,0.432709664106369,-0.39759328961372375,0.9998807311058044,0.5417520403862,0.4552846848964691,-0.14970192313194275,0.9997908473014832,0.5335005521774292,0.4548603594303131,-0.2611633241176605,0.999758243560791,0.4633779525756836,0.5155500173568726,0.20581071078777313,0.99367755651474,0.4614782929420471,0.5216836333274841,-0.5722600817680359,0.9985641837120056,0.6755676865577698,0.5404193997383118,0.2902498245239258,0.41032207012176514,0.7004403471946716,0.5451360940933228,-0.6768826842308044,0.9869396090507507,0.8896315097808838,0.5355748534202576,0.19974666833877563,0.39369356632232666,0.9515769481658936,0.537607729434967,-0.5969412326812744,0.9577591419219971,0.9253325462341309,0.5270196795463562,0.22291815280914307,0.38787877559661865,1.0080658197402954,0.5348896384239197,-0.699296236038208,0.925966739654541,0.930427074432373,0.5260024070739746,0.14590390026569366,0.3952040672302246,0.9943459033966064,0.5279771685600281,-0.6364110112190247,0.9152567982673645,0.9224658608436584,0.5288543105125427,0.16471008956432343,0.42540737986564636,0.977450966835022,0.5293756127357483,-0.5778601765632629,0.8813932538032532,0.24988782405853271,0.7061706781387329,0.26574331521987915,0.998099684715271,0.20791885256767273,0.7247538566589355,-0.26521140336990356,0.9990294575691223,0.5236882567405701,0.720745325088501,0.43741053342819214,0.5692399144172668,0.5166126489639282,0.735751211643219,-0.3625170588493347,0.9958693385124207,0.42054444551467896,0.88019198179245,0.6251173615455627,0.7177042961120605,0.39418092370033264,0.9267051219940186,-0.20803192257881165,0.9936534762382507,0.37995681166648865,0.9045437574386597,0.643367350101471,0.7150341272354126,0.3468192517757416,0.954200029373169,-0.19280603528022766,0.9852179884910583,0.5239653587341309,0.9092510342597961,0.6315740942955017,0.790961503982544,0.5238523483276367,0.9618573188781738,-0.24915486574172974,0.9867057204246521
9,0.5494186878204346,0.4347078204154968,-0.2017069309949875,0.9998926520347595,0.534744918346405,0.4194103181362152,-0.17193211615085602,0.999902606010437,0.5331934094429016,0.41920995712280273,-0.17199982702732086,0.999919056892395,0.5310969948768616,0.41910216212272644,-0.17215004563331604,0.9999410510063171,0.5277480483055115,0.4196098744869232,-0.2554778456687927,0.9999162554740906,0.5214105844497681,0.4199746549129486,-0.25565004348754883,0.999920129776001,0.5148271918296814,0.42055419087409973,-0.25569626688957214,0.9999354481697083,0.49340954422950745,0.4275300204753876,-0.013351593166589737,0.9999473094940186,0.4747236967086792,0.42851176857948303,-0.39342063665390015,0.9998753070831299,0.5402900576591492,0.4521375298500061,-0.1365392506122589,0.9997824430465698,0.5318779945373535,0.4515647292137146,-0.24814634025096893,0.9997526407241821,0.45892518758773804,0.5096129775047302,0.2078300416469574,0.9935420155525208,0.4613148868083954,0.5175930857658386,-0.5630189180374146,0.9986064434051514,0.6682831645011902,0.5349810123443604,0.29755640029907227,0.40318894386291504,0.6964374780654907,0.5410506725311279,-0.6704941391944885,0.9866905212402344,0.8809220790863037,0.5326379537582397,0.2061668038368225,0.39237603545188904,0.9363791346549988,0.5346196889877319,-0.5944499373435974,0.9575495719909668,0.9196781516075134,0.5249716639518738,0.2274281084537506,0.3886072337627411,0.9902804493904114,0.5335018634796143,-0.6941001415252686,0.9264567494392395,0.9259752631187439,0.5244255065917969,0.1499953418970108,0.3958212435245514,0.9808064699172974,0.5266842246055603,-0.6255128383636475,0.9159464836120605,0.916854202747345,0.5271720886230469,0.17082323133945465,0.42594245076179504,0.9655370712280273,0.5276904702186584,-0.5736289620399475,0.8823266625404358,0.2494988739490509,0.703714907169342,0.2653217613697052,0.9981593489646912,0.20783376693725586,0.7221120595932007,-0.26477673649787903,0.9990839958190918,0.523593544960022,0.7202734351158142,0.4558432698249817,0.5712769627571106,0.5166124105453491,0.735832929611206,-0.3551875054836273,0.9960373044013977,0.4213268756866455,0.8794310092926025,0.6487692594528198,0.7153125405311584,0.39437586069107056,0.9267116189002991,-0.20471888780593872,0.9937892556190491,0.38093850016593933,0.9033381342887878,0.6671384572982788,0.7119235992431641,0.3468385934829712,0.954218864440918,-0.18893705308437347,0.9853257536888123,0.5239684581756592,0.9092794060707092,0.6566603183746338,0.788875937461853,0.5238848924636841,0.9617955684661865,-0.24374693632125854,0.9868574738502502
